actor_u,actor_v,weight
Thu Trang,Quốc Trường,1
Thu Trang,Bảo Thanh,1
Thu Trang,Ngọc Giàu,1
Thu Trang,Trung Dân,1
Thu Trang,Khánh Hiền,1
Thu Trang,La Thành,2
Thu Trang,Tuấn Trần,1
Thu Trang,Kiều Minh Tuấn,6
Thu Trang,Thái Hoà,1
Thu Trang,Đức Thịnh,1
Thu Trang,Hồng Ánh,1
Thu Trang,Kaity Nguyễn,1
Thu Trang,Hứa Vĩ Văn,1
Thu Trang,Tiến Luật,4
Thu Trang,Anh Tú,1
Thu Trang,Thanh Tân,1
Thu Trang,Trương Minh Quốc Thái,1
Thu Trang,Phát La,1
Thu Trang,Châu Bùi,1
Thu Trang,Jun Vũ,1
Thu Trang,Bùi Anh Tú,1
Thu Trang,NSNDKim Xuân,1
Thu Trang,Hứa Vỹ Văn,1
Thu Trang,Quang Tuấn,1
Thu Trang,Thái Hòa,1
Thu Trang,Hồng Vân,2
Thu Trang,Huỳnh Phương,1
Thu Trang,Vinh Râu,1
Thu Trang,Thái Vũ,1
Thu Trang,Samuel An,1
Thu Trang,Quỳnh Lương,1
Thu Trang,Lê Giang,1
Thu Trang,Uyển Ân,1
Thu Trang,Huy Anh,1
Thu Trang,Minh Thảo,1
Thu Trang,Đoàn Thiên Ân,1
Thu Trang,Võ Tấn Phát,1
Thu Trang,Ma Ran Tô,1
Thu Trang,Lê Xuân Tiền,1
Thu Trang,Xuân Hinh,1
Thu Trang,Trần Bảo Nam,1
Thu Trang,Thanh Hương,1
Quốc Trường,Bảo Thanh,1
Quốc Trường,Ngọc Giàu,1
Quốc Trường,Trung Dân,1
Quốc Trường,Bảo Anh,1
Quốc Trường,Minh Hằng,1
Quốc Trường,Diệu Nhi,1
Quốc Trường,Thuận Nguyễn,2
Quốc Trường,Mạc Văn Khoa,2
Quốc Trường,Kiều Minh Tuấn,1
Quốc Trường,Vân Trang,1
Quốc Trường,Mai Cát Vi,1
Quốc Trường,Phương Thanh,1
Quốc Trường,Đào Bá Sơn,1
Quốc Trường,Đức Khuê,1
Quốc Trường,Lê Khánh,1
Quốc Trường,Uyển Ân,1
Quốc Trường,Hoài Linh,1
Quốc Trường,Tạ Minh Tâm,1
Quốc Trường,Đinh Y Nhung,1
Quốc Trường,Thanh Thức,1
Quốc Trường,Tạ Lâm,1
Quốc Trường,Phương Lan,1
Quốc Trường,Quang Sơn,1
Bảo Thanh,Ngọc Giàu,1
Bảo Thanh,Trung Dân,1
Ngọc Giàu,Trung Dân,1
Ngọc Giàu,Trấn Thành,3
Ngọc Giàu,Tuần Trần,1
Ngọc Giàu,Ngân Chi,1
Ngọc Giàu,Lê Giang,2
Ngọc Giàu,Hoàng Mèo,1
Ngọc Giàu,Lan Phương,1
Ngọc Giàu,La Thành,1
Ngọc Giàu,Lê Trang,1
Ngọc Giàu,Quốc Khánh,2
Ngọc Giàu,Việt Anh,1
Ngọc Giàu,Khả Như,2
Ngọc Giàu,Lê Dương Bảo Lâm,1
Ngọc Giàu,Song Luân,1
Ngọc Giàu,Huỳnh Uyển Ân,1
Ngọc Giàu,Tuấn Trần,1
Ngọc Giàu,Phương Anh Đào,1
Ngọc Giàu,Uyển Ân,1
Ngọc Giàu,Hồng Đào,1
Ngọc Giàu,Anh Phạm,1
Ngọc Giàu,Thanh Hằng,1
Ngọc Giàu,Anh Đức,1
Trung Dân,Việt Hương,1
Trung Dân,Dạ Chúc,1
Trung Dân,Thành Lộc,2
Trung Dân,Diệu Đức,1
Trung Dân,Cẩm Ly,1
Trung Dân,Minh Khang,1
Trung Dân,Hùng Anh,1
Trung Dân,Nhật Linh,1
Trung Dân,Phương Duyên,1
Trung Dân,Ngọc Trai,1
Trung Dân,Vũ Long,1
Trung Dân,Anh Đào,1
Trung Dân,Lâm Vỹ Dạ,1
Trung Dân,Hứa Minh Đạt,1
Trung Dân,Đại Nghĩa,1
Trung Dân,Trương Thế Vinh,1
Trung Dân,Lê Lộc,1
Trung Dân,Mạc Văn Khoa,1
Trung Dân,Khương Lê,1
Trung Dân,Phương Anh Đào,1
Trung Dân,Tuấn Trần,1
Trung Dân,Võ Tấn Phát,1
Trung Dân,Ma Ran Đô,1
Việt Anh,Hồng Vân,2
Việt Anh,Trường Giang,1
Việt Anh,Mạc Văn Khoa,1
Việt Anh,Tấn Beo,1
Việt Anh,Đức Phúc,1
Việt Anh,Phương Thanh,1
Việt Anh,Lê Giang,1
Việt Anh,Trấn Thành,1
Việt Anh,Khả Như,1
Việt Anh,Lê Dương Bảo Lâm,1
Việt Anh,Song Luân,1
Việt Anh,Huỳnh Uyển Ân,1
Việt Anh,Khánh Vân,1
Việt Anh,Công Dương,1
Việt Anh,Minh Dự,1
Việt Anh,Trần Nghĩa,1
Việt Anh,Thanh Nam,1
Việt Anh,Công Ninh,2
Việt Anh,Đức Sơn,1
Việt Anh,Hồng Ánh,1
Việt Anh,Quyền Linh,1
Việt Anh,Minh Luân,1
Việt Anh,Kiều Oanh,1
Việt Anh,Trần Kim Hải,1
Hồng Vân,Trường Giang,1
Hồng Vân,Mạc Văn Khoa,2
Hồng Vân,Tấn Beo,1
Hồng Vân,Đức Phúc,1
Hồng Vân,Phương Thanh,1
Hồng Vân,Ninh Dương Lan Ngọc,1
Hồng Vân,Lê Khanh,2
Hồng Vân,Jun Vũ,1
Hồng Vân,Lê Xuân Tiền,1
Hồng Vân,Hoàng Dũng,1
Hồng Vân,Kaity Nguyễn,1
Hồng Vân,Khương Lê,1
Hồng Vân,Thái Hòa,1
Hồng Vân,Tiến Luật,2
Hồng Vân,Huỳnh Phương,2
Hồng Vân,Vinh Râu,1
Hồng Vân,Thái Vũ,1
Hồng Vân,Hữu Châu,2
Hồng Vân,Kim Tử Long,1
Hồng Vân,Lê Thiện,1
Hồng Vân,Kim Huyền,1
Hồng Vân,Cao Minh Đạt,1
Hồng Vân,Bạch Công Khanh,1
Hồng Vân,Bạch Long,1
Hồng Vân,Lê Phương,1
Hồng Vân,Chí Tâm,1
Hồng Vân,Quyền Linh,2
Hồng Vân,Công Ninh,1
Hồng Vân,Minh Luân,1
Hồng Vân,Kiều Oanh,1
Hồng Vân,Trần Kim Hải,1
Hồng Vân,Samuel An,1
Hồng Vân,Quỳnh Lương,1
Hồng Vân,Lê Giang,1
Hồng Vân,Kiều Minh Tuấn,1
Hồng Vân,Uyển Ân,1
Hồng Vân,Huy Anh,1
Hồng Vân,Minh Thảo,1
Hồng Vân,Ngô Kiến Huy,1
Hồng Vân,Đại Nghĩa,1
Hồng Vân,Thanh Hương,1
Hồng Vân,Hoàng Mèo,2
Hồng Vân,Phi Phụng,1
Hồng Vân,Phan Vũ,1
Hồng Vân,Hồng Đào,1
Hồng Vân,Lê Lộc,1
Hồng Vân,Hoàng Linh,1
Hồng Vân,Đoàn Thế Vinh,1
Hồng Vân,Trần Nghĩa,1
Hồng Vân,Hữu Trọng,1
Hồng Vân,Quốc Cường,1
Hồng Vân,Mai Sơn Lâm,1
Hồng Vân,Ngọc Tưởng,1
Hồng Vân,Hà Linh,1
Hồng Vân,Huỳnh Uyển Ân,1
Hồng Vân,Kim Xuân,1
Hồng Vân,Hoàng Sơn,1
Trường Giang,Mạc Văn Khoa,1
Trường Giang,Tấn Beo,1
Trường Giang,Đức Phúc,1
Trường Giang,Phương Thanh,1
Mạc Văn Khoa,Tấn Beo,1
Mạc Văn Khoa,Đức Phúc,1
Mạc Văn Khoa,Phương Thanh,2
Mạc Văn Khoa,Võ Thành Tâm,1
Mạc Văn Khoa,Ốc Thanh Vân,1
Mạc Văn Khoa,Huỳnh Đông,1
Mạc Văn Khoa,Quách Ngọc Tuyên,1
Mạc Văn Khoa,Lê Hạ Anh,1
Mạc Văn Khoa,Bé Bảo Thy,1
Mạc Văn Khoa,Tiết Cương,1
Mạc Văn Khoa,Huỳnh ChillHuyn,1
Mạc Văn Khoa,Ninh Dương Lan Ngọc,1
Mạc Văn Khoa,Nhã Phương,1
Mạc Văn Khoa,Diễm My,1
Mạc Văn Khoa,Quang Tuấn,1
Mạc Văn Khoa,Bùi Anh Tú,1
Mạc Văn Khoa,Nhật Trung,1
Mạc Văn Khoa,Ngọc Phước,1
Mạc Văn Khoa,Kiều Minh Tuấn,1
Mạc Văn Khoa,Vân Trang,1
Mạc Văn Khoa,Hùng Anh,1
Mạc Văn Khoa,Nhật Linh,1
Mạc Văn Khoa,Phương Duyên,1
Mạc Văn Khoa,Ngọc Trai,1
Mạc Văn Khoa,Vũ Long,1
Mạc Văn Khoa,Anh Đào,1
Mạc Văn Khoa,Lâm Vỹ Dạ,1
Mạc Văn Khoa,Hứa Minh Đạt,1
Mạc Văn Khoa,Đại Nghĩa,1
Mạc Văn Khoa,Trương Thế Vinh,1
Mạc Văn Khoa,Lê Lộc,1
Mạc Văn Khoa,Thành Lộc,1
Mạc Văn Khoa,Mai Cát Vi,1
Mạc Văn Khoa,Đào Bá Sơn,1
Mạc Văn Khoa,Đức Khuê,1
Mạc Văn Khoa,Đoàn Thế Vinh,1
Mạc Văn Khoa,Trần Nghĩa,1
Mạc Văn Khoa,Huỳnh Phương,1
Mạc Văn Khoa,Hữu Trọng,1
Mạc Văn Khoa,Quốc Cường,1
Mạc Văn Khoa,Hoàng Mèo,1
Mạc Văn Khoa,Mai Sơn Lâm,1
Mạc Văn Khoa,Ngọc Tưởng,1
Mạc Văn Khoa,Hà Linh,1
Tấn Beo,Đức Phúc,1
Tấn Beo,Phương Thanh,1
Đức Phúc,Phương Thanh,1
Phương Thanh,Mai Cát Vi,1
Phương Thanh,Đào Bá Sơn,1
