actor,degree,weighted_degree,betweenness,eigenvector,community
Thu Trang,42,52,0.026164478928780644,0.08848575572821156,0
Quốc Trường,24,26,0.006193713891645751,0.04802911887236491,0
Bảo Thanh,4,4,0.0,0.011143439215139928,0
Ngọc Giàu,25,30,0.0034998915990515993,0.0655737926267487,0
Trung Dân,27,28,0.011543941546184927,0.04968951697996332,0
Việt Anh,25,27,0.006229082734554729,0.05039735928611393,0
Hồng Vân,59,68,0.06369075433305228,0.14031276177928048,0
Trường Giang,6,6,0.0,0.01571291216108986,0
Mạc Văn Khoa,49,52,0.03496953356260421,0.1130331430030817,3
Tấn Beo,6,6,0.0,0.01571291216108986,0
Đức Phúc,6,6,0.0,0.01571291216108986,0
Phương Thanh,10,11,0.0005502936849774579,0.019862705064583066,0
Ninh Dương Lan Ngọc,12,12,0.0024324076860850184,0.024698788245077204,0
Lê Khanh,16,17,0.010891491423398719,0.0214568498064146,0
Jun Vũ,18,18,0.012512583189709867,0.03030746021077976,0
Lê Xuân Tiền,9,9,0.0003738340275378799,0.021485085722028466,0
Hiệp Gà,4,4,0.0,0.0006555537431309884,7
Hà Việt Dũng,4,4,0.0,0.0006555537431309884,7
YaYa Trương Nhi,4,4,0.0,0.0006555537431309884,7
Cao Thái Hà,6,6,0.00429981634260562,0.0006632485640736892,7
Phước Sang,9,9,0.017337805601397308,0.012838434527232536,7
Hương Giang,8,8,0.0,0.025666404919547213,1
Phát La,16,16,0.0017933190764402585,0.0440884036866672,0
Tuấn Trần,47,57,0.026964848051505282,0.10784983371671217,0
Puka,14,14,0.0018985144539639244,0.03692718325778202,1
Kim Xuân,19,19,0.007039983987558346,0.0452578090381642,1
Hữu Châu,77,83,0.08533001461831603,0.2570808587671421,3
Karen Nguyễn,23,23,0.009277479429930294,0.03740020934117442,2
Lệ Hằng,8,8,0.0,0.025666404919547213,1
Đông Kha,8,8,0.0,0.025666404919547213,1
Hoàng Yến Chibi,21,21,0.01703278139438374,0.05401215460425075,3
Quách Ngọc Tuyên,43,50,0.039529299435762735,0.1698034208371224,3
Nam Long,5,5,0.0,0.0127269782637286,3
Trương Minh Quốc Thái,13,13,0.006475260109728982,0.0316750904243798,0
Doãn Quốc Đam,22,22,0.017872815266490774,0.019247064371972142,4
Kiều Minh Tuấn,43,51,0.023546734225695816,0.108389507987758,0
Khả Như,41,44,0.0214611171012143,0.09533635684498837,0
Oanh Kiều,11,14,0.0035137921292920054,0.03974847062040521,0
Ngân Chi,21,21,0.007921639067534928,0.05321580073178066,0
Thúy Hằng,2,2,0.0,8.02404915357566e-37,17
Hồ Minh Khuê,2,2,0.0,8.02404915357566e-37,17
Hoàng Mai Anh,2,2,0.0,8.02404915357566e-37,17
Khánh Hiền,4,4,0.0,0.016127903280164675,0
La Thành,29,34,0.02375783032768131,0.059676368056218,0
FAPtv (Huỳnh Phương,6,6,0.0,0.010927761655926294,3
Thái Vũ,20,24,0.00986174638450591,0.03715039870560142,3
Vinh Râu),6,6,0.0,0.010927761655926294,3
Phan Hoàng Kim,8,10,0.00019861758844433712,0.015157575948707494,3
Mai Thuý Vy,6,6,0.0,0.010927761655926294,3
Quỳnh Thư,8,10,0.00019861758844433712,0.015157575948707494,3
Long Đẹp Trai,35,40,0.01296713052091743,0.15760307081166502,3
Phương Anh Đào,25,30,0.019911290333620685,0.06068077376932376,0
Quang Tuấn,55,60,0.055401726352177515,0.10001002136455395,0
Đỗ Nhật Trường,10,10,0.0029585319459351353,0.012480553730570762,0
Ái Phương,3,3,0.0,0.0076642477549589885,0
Peter Phạm,9,9,0.016598286099748054,0.0021295727289154793,7
Simon Kook,4,4,0.0,0.0021037077885740904,7
Thạch Kim Long,4,4,0.0,0.0021037077885740904,7
Công Ninh,26,29,0.034602003707081545,0.041194748543642974,0
Phạm Huy Thục,4,4,0.0,0.0021037077885740904,7
Hiếu Nguyễn,3,6,0.0,0.011959473508107481,0
Trần Anh Khoa,6,6,0.0,0.013148644270839373,4
Anh Tú Wilson,34,34,0.017633050495695957,0.14888021288283232,3
Wowy,6,6,0.0,0.013148644270839373,4
Cát Phượng,14,14,0.007104217627923178,0.016161837845442593,4
Mai Thế Hiệp,31,33,0.013222195474572176,0.07654175680754315,1
Thanh Tú,6,6,0.0,0.013148644270839373,4
Hải Triều,13,13,0.004154170949456333,0.029224936161330605,0
Lương Anh Vũ (Alvin Lu),4,4,0.0,0.001239104695571005,8
Hồ Thu Anh,17,17,0.028930611360140045,0.024269738760070905,8
Hồ Minh Ngọc,4,4,0.0,0.001239104695571005,8
Hồ Thành Trung,4,4,0.0,0.001239104695571005,8
Việt Linh,8,8,0.013742686281854228,0.0012499183585117568,8
Yu Dương,14,14,0.005692766697171773,0.04789925256760111,2
Kiều Trinh,54,58,0.029833838093152966,0.1990142196507066,1
Xuân Hiệp,4,4,0.0,0.011988333338211438,2
