Tên phim,Đạo diễn,Diễn viên,Thể loại,Chính thức khởi chiếu
Đôi mắt âm dương,Nhất Trung,"Thu Trang,Quốc Trường,Bảo Thanh,NSND Ngọc Giàu,Trung Dân...","Tâm lý, Kinh dị",25 tháng 1 năm 2020 (Mùng 1 tết Nguyên đán)
30 chưa phải tết,Nguyễn Quang Huy,"NSND Việt Anh,NSND Hồng Vân,Trường Giang,Mạc Văn Khoa,Tấn Beo,Đức Phúc,Phương Thanh...",Hài,25 tháng 1 năm 2020 (Mùng 1 tết Nguyên đán)
Gái già lắm chiêu 3,"Bảo Nhân, Nam Cito","Ninh Dương Lan Ngọc,NSND Hồng Vân,NSND Lê Khanh,Jun Vũ, Lê Xuân Tiền...","Hài, Lãng mạn",25 tháng 1 năm 2020 (Mùng 1 tết Nguyên đán)
Tiền nhiều để làm gì,Lưu Huỳnh,"Hiệp Gà,Hà Việt Dũng, YaYa Trương Nhi,Cao Thái Hà,Phước Sang...",Hài,25 tháng 1 năm 2020 (Mùng 1 tết Nguyên đán)
Sắc đẹp dối trá,Kay Nguyễn,"Hương Giang, Phát La,Tuấn Trần, Puka,NSND Kim Xuân,NSƯT Hữu Châu, Karen Nguyễn, Lệ Hằng, Đông Kha,...","Hài, Hành động",14 tháng 2 năm 2020
Cuốc xe nửa đêm,Nguyễn Nguyên Hoàng,"Hoàng Yến Chibi, Quách Ngọc Tuyên,Nam Long,Trương Minh Quốc Thái,Phước Sang, Doãn Quốc Đam...","Tình cảm, Hành động",28 tháng 2 năm 2020
Nắng 3: Lời hứa của cha,Đồng Đăng Giao,"Kiều Minh Tuấn, Khả Như, Oanh Kiều, Ngân Chi,NSƯT Hữu Châu...","Tình cảm, Hài",6 tháng 3 năm 2020
Truyền thuyết về Quán Tiên,Đinh Tuấn Vũ,"Thúy Hằng, Hồ Minh Khuê, Hoàng Mai Anh...",Chiến tranh,22 Tháng 5 năm 2020
Tôi là não cá vàng,Lê Hướng Nam,"Khánh Hiền,Thu Trang, La Thành, Tuấn Trần,Kiều Minh Tuấn...","Hài, Lãng mạn",5 tháng 6 năm 2020
Sky Tour Movie,M-TP Entertainment,Sơn Tùng M-TP...,"Âm nhạc, Tài liệu",12 tháng 6 năm 2020
Những cô vợ hành động,Nguyễn Thành Vinh,"FAPtv (Huỳnh Phương, Thái Vũ, Vinh Râu), Phan Hoàng Kim, Mai Thuý Vy, Quỳnh Thư, Long Đẹp Trai...","Lãng mạn, Hài",26 tháng 6 năm 2020
Bằng chứng vô hình,Trịnh Đình Lê Minh,"Phương Anh Đào, Quang Tuấn, Đỗ Nhật Trường, Ái Phương...","Hồi hộp, Tâm lý",10 tháng 7 năm 2020
Đỉnh sương mù,"Phan Anh, Peter Phạm (đạo diễn võ thuật)","Peter Phạm, Simon Kook, Thạch Kim Long,Công Ninh, Phạm Huy Thục,...",Hành động,24 tháng 7 năm 2020
Vô diện sát nhân,Đinh Công Hiếu,"Phương Anh Đào, Quách Ngọc Tuyên, Hiếu Nguyễn,Oanh Kiều,...",Kinh dị,26 tháng 8 năm 2020
Ròm,Trần Thanh Huy,"Trần Anh Khoa, Anh Tú Wilson,Wowy,Cát Phượng,Mai Thế Hiệp, Thanh Tú, Hải Triều...","Hành động, Hồi hộp",25 tháng 9 năm 2020
Sài Gòn trong cơn mưa,Lê Minh Hoàng,"Lương Anh Vũ (Alvin Lu), Hồ Thu Anh, Hồ Minh Ngọc, Hồ Thành Trung, Việt Linh...",Tình cảm,6 tháng 11 năm 2020
Thang máy,Peter Mourougaya,"Yu Dương, Kiều Trinh, Xuân Hiệp, Tống Yến Nhi, Mai Bích Trâm...",Kinh dị,6 tháng 11 năm 2020
Chồng người ta,Nguyễn Hữu Tiến,"Yaya Trương Nhi, Trịnh Xuân Nhãn, Phạm Thanh Trúc...","Tâm lý, Tình cảm",20 tháng 11 năm 2020
Tiệc trăng máu,Nguyễn Quang Dũng,"Thái Hoà,Đức Thịnh,Hồng Ánh,Kaity Nguyễn,Kiều Minh Tuấn,Hứa Vĩ Văn,Thu Trang,...","Hài, Chính kịch",20 tháng 11 năm 2020
Trái tim quái vật,Tạ Nguyên Hiệp,"Hoàng Thùy Linh, BB Trần,Hứa Vĩ Văn,Trịnh Thăng Bình, Hạnh Thúy, Kay Trần...","Hồi hộp, Tâm lý",20 tháng 11 năm 2020
Bí mật của gió,Nguyễn Phan Quang Bình,"NSƯT Hữu Châu, NSƯT Ngọc Hiệp, Quốc Anh,Khả Ngân,Hoàng Yến Chibi, Yu Dương,Phi Phụng, Long Đẹp Trai...",Tình cảm,27 tháng 11 năm 2020
Hoa Phong Nguyệt Vũ,"Phạm Thanh Hải, Peter Phạm (đạo diễn võ thuật)","Peter Phạm, Lê Thu An, Hải Ngân Brianna, Hồ Quang Mẫn, Tuấn Zoi, Ellie Mễ Tiên","Trinh thám, Kinh dị, Hành động",4 tháng 12 năm 2020
Chị Mười Ba: 3 ngày sinh tử,Võ Thanh Hòa,"Thu Trang, Tiến Luật,Kiều Minh Tuấn, Anh Tú, La Thành, Thanh Tân, Trương Minh Quốc Thái, Phát La, Châu Bùi...",Hành động,25 tháng 12 năm 2020
