source,target,weight
A000001,A000023,1
A000001,A000107,1
A000001,A000262,1
A000001,A000310,1
A000001,A000363,1
A000001,A000472,1
A000001,A000477,1
A000002,A000395,1
A000002,A000398,1
A000002,A000456,1
A000003,A000158,1
A000003,A000276,1
A000003,A000282,1
A000003,A000382,1
A000003,A000426,1
A000003,A000545,1
A000004,A000012,1
A000004,A000141,1
A000004,A000170,1
A000004,A000258,1
A000004,A000259,1
A000004,A000289,1
A000004,A000351,1
A000004,A000380,1
A000004,A000381,1
A000004,A000382,1
A000004,A000383,1
A000004,A000386,1
A000004,A000407,1
A000004,A000413,1
A000004,A000467,1
A000004,A000493,1
A000004,A000506,1
A000004,A000516,1
A000004,A000545,1
A000004,A000547,1
A000005,A000022,1
A000005,A000046,1
A000005,A000139,1
A000005,A000391,1
A000006,A000026,1
A000006,A000043,1
A000006,A000065,1
A000006,A000128,1
A000006,A000303,1
A000006,A000319,1
A000006,A000335,1
A000006,A000362,1
A000006,A000422,1
A000006,A000434,1
A000006,A000443,1
A000006,A000451,1
A000006,A000474,1
A000006,A000491,1
A000006,A000499,1
A000006,A000518,1
A000006,A000529,1
A000007,A000324,1
A000007,A000394,1
A000008,A000050,1
A000008,A000177,1
A000008,A000181,1
A000008,A000349,1
A000008,A000418,1
A000008,A000425,1
A000008,A000442,1
A000008,A000459,1
A000009,A000063,1
A000009,A000197,1
A000009,A000330,1
A000009,A000383,1
A000010,A000034,1
A000010,A000040,1
A000010,A000045,1
A000010,A000048,1
A000010,A000054,1
A000010,A000060,1
A000010,A000092,1
A000010,A000129,1
A000010,A000134,1
A000010,A000136,1
A000010,A000137,1
A000010,A000165,1
A000010,A000179,1
A000010,A000186,1
A000010,A000209,1
A000010,A000230,1
A000010,A000267,1
A000010,A000274,1
A000010,A000277,1
A000010,A000321,1
A000010,A000333,1
A000010,A000342,1
A000010,A000373,1
A000010,A000378,1
A000010,A000392,1
A000010,A000419,1
A000010,A000428,1
A000010,A000445,1
A000010,A000468,1
A000010,A000489,1
A000010,A000496,1
A000010,A000526,1
A000010,A000538,1
A000010,A000550,1
A000011,A000121,1
A000011,A000142,1
A000011,A000191,1
A000011,A000200,1
A000011,A000249,1
A000011,A000257,1
A000011,A000263,1
A000011,A000284,1
A000011,A000316,1
A000011,A000331,1
A000011,A000340,1
A000011,A000353,1
A000011,A000424,1
A000011,A000449,1
A000011,A000463,1
A000011,A000519,1
A000011,A000520,1
A000011,A000556,1
A000012,A000141,1
A000012,A000170,1
A000012,A000259,1
A000012,A000351,1
A000012,A000383,1
A000012,A000413,1
A000012,A000467,1
A000012,A000493,1
A000012,A000506,1
A000013,A000038,1
A000013,A000096,1
A000013,A000246,1
A000013,A000254,1
A000013,A000397,1
A000013,A000434,1
A000013,A000495,1
A000013,A000536,1
A000013,A000543,1
A000014,A000105,1
A000014,A000179,1
A000014,A000230,1
A000014,A000321,1
A000014,A000334,1
A000014,A000391,1
A000014,A000503,1
A000014,A000531,1
A000014,A000559,1
A000014,A000560,1
A000015,A000328,1
A000016,A000027,1
A000016,A000087,2
A000016,A000172,1
A000016,A000176,1
A000016,A000183,1
A000016,A000190,1
A000016,A000212,1
A000016,A000381,1
A000016,A000391,1
A000016,A000420,1
A000016,A000442,1
A000016,A000474,1
A000016,A000546,1
A000017,A000097,1
A000017,A000124,1
A000017,A000143,1
A000017,A000162,1
A000017,A000483,1
A000018,A000059,1
A000018,A000152,1
A000018,A000228,1
A000018,A000233,1
A000018,A000301,1
A000018,A000381,1
A000018,A000448,1
A000018,A000568,1
A000019,A000048,1
A000019,A000088,1
A000019,A000105,1
A000019,A000125,1
A000019,A000179,1
A000019,A000250,1
A000019,A000350,1
A000019,A000366,1
A000019,A000374,1
A000019,A000403,1
A000019,A000424,1
A000019,A000478,1
A000019,A000554,1
A000020,A000104,1
A000020,A000114,1
A000020,A000198,1
A000020,A000249,1
A000020,A000378,1
A000020,A000445,1
A000020,A000514,1
A000020,A000569,1
A000021,A000143,1
A000021,A000317,1
A000021,A000537,1
A000022,A000046,1
A000022,A000139,1
A000022,A000391,1
A000023,A000107,1
A000023,A000262,1
A000023,A000310,1
A000023,A000363,1
A000023,A000472,1
A000023,A000477,1
A000024,A000028,1
A000024,A000047,1
A000024,A000068,1
A000024,A000075,1
A000024,A000216,1
A000024,A000253,1
A000024,A000268,1
A000024,A000274,1
A000024,A000389,1
A000024,A000409,1
A000024,A000411,1
A000024,A000429,1
A000024,A000471,1
A000024,A000473,1
A000024,A000525,1
A000025,A000031,1
A000025,A000156,1
A000025,A000177,1
A000025,A000205,1
A000025,A000249,1
A000025,A000256,1
A000025,A000330,1
A000025,A000341,1
A000025,A000387,1
A000025,A000420,1
A000025,A000425,1
A000026,A000043,1
A000026,A000065,1
A000026,A000128,1
A000026,A000303,1
A000026,A000319,1
A000026,A000335,1
A000026,A000362,1
A000026,A000422,1
A000026,A000434,1
A000026,A000443,1
A000026,A000451,1
A000026,A000474,1
A000026,A000491,1
A000026,A000499,1
A000026,A000518,1
A000026,A000529,1
A000027,A000087,1
A000027,A000183,1
A000027,A000474,1
A000028,A000047,1
A000028,A000141,1
A000028,A000189,1
A000028,A000199,1
A000028,A000253,1
A000028,A000268,1
A000028,A000274,2
A000028,A000409,1
A000028,A000411,1
A000028,A000471,1
A000028,A000473,1
A000028,A000492,1
A000028,A000510,1
A000028,A000525,1
A000029,A000030,1
A000029,A000039,1
A000029,A000051,1
A000029,A000124,1
A000029,A000171,1
A000029,A000174,1
A000029,A000183,1
A000029,A000202,1
A000029,A000238,1
A000029,A000255,1
A000029,A000274,1
A000029,A000279,1
A000029,A000490,1
A000029,A000556,1
A000030,A000039,1
A000030,A000051,1
A000030,A000171,1
A000030,A000174,1
A000030,A000202,1
A000030,A000255,1
A000030,A000274,1
A000030,A000279,1
A000031,A000063,1
A000031,A000205,1
A000031,A000239,1
A000031,A000331,1
A000031,A000338,1
A000031,A000385,1
A000031,A000387,1
A000031,A000420,1
A000031,A000426,1
A000031,A000464,1
A000031,A000563,1
A000032,A000141,1
A000032,A000210,1
A000032,A000313,1
A000032,A000322,1
A000032,A000398,1
A000032,A000420,1
A000032,A000548,1
A000033,A000080,1
A000033,A000125,1
A000033,A000183,1
A000033,A000193,1
A000033,A000278,1
A000033,A000348,1
A000033,A000398,1
A000033,A000444,1
A000033,A000462,1
A000033,A000479,1
A000033,A000485,1
A000033,A000505,1
A000034,A000045,1
A000034,A000048,1
A000034,A000136,1
A000034,A000137,1
A000034,A000179,1
A000034,A000186,1
A000034,A000209,1
A000034,A000274,1
A000034,A000277,1
A000034,A000321,1
A000034,A000333,1
A000034,A000378,1
A000034,A000392,1
A000034,A000445,1
A000034,A000489,1
A000034,A000496,1
A000034,A000538,1
A000034,A000550,1
A000035,A000259,1
A000035,A000385,1
A000035,A000425,1
A000035,A000449,1
A000036,A000109,1
A000036,A000442,1
A000036,A000513,1
A000037,A000044,1
A000037,A000090,1
A000037,A000139,1
A000037,A000206,1
A000037,A000320,1
A000037,A000430,1
A000037,A000454,1
A000037,A000557,1
A000038,A000096,1
A000038,A000246,1
A000038,A000254,1
A000038,A000397,1
A000038,A000434,1
A000038,A000495,1
A000038,A000536,1
A000038,A000543,1
A000039,A000051,1
A000039,A000171,1
A000039,A000174,1
A000039,A000202,1
A000039,A000255,1
A000039,A000274,1
A000039,A000279,1
A000040,A000060,1
A000040,A000092,1
A000040,A000134,1
A000040,A000165,1
A000040,A000267,1
A000040,A000342,1
A000040,A000373,1
A000040,A000428,1
A000041,A000173,1
A000041,A000197,1
A000041,A000208,1
A000041,A000239,1
A000041,A000329,1
A000041,A000332,1
A000041,A000453,1
A000042,A000082,1
A000042,A000118,1
A000042,A000207,1
A000042,A000359,1
A000042,A000455,1
A000042,A000535,1
A000043,A000065,1
A000043,A000128,1
A000043,A000303,1
A000043,A000319,1
A000043,A000335,1
A000043,A000362,1
A000043,A000422,1
A000043,A000434,1
A000043,A000443,1
A000043,A000451,1
A000043,A000474,1
A000043,A000491,1
A000043,A000499,1
A000043,A000518,1
A000043,A000529,1
A000044,A000056,1
A000044,A000090,1
A000044,A000139,1
A000044,A000206,1
A000044,A000296,1
A000044,A000306,1
A000044,A000320,1
A000044,A000383,1
A000044,A000393,1
A000044,A000430,1
A000044,A000454,1
A000044,A000493,1
A000044,A000557,1
A000045,A000048,1
A000045,A000136,1
A000045,A000137,1
A000045,A000179,1
A000045,A000186,1
A000045,A000209,1
A000045,A000274,1
A000045,A000277,1
A000045,A000321,1
A000045,A000333,1
A000045,A000378,1
