STT,Diễn viên,Link_Wikipedia,Họ và tên,Ngày sinh,Quốc tịch,Nghề nghiệp,Năm hoạt động,Link ảnh
1,Thu Trang,https://vi.wikipedia.org/wiki/Thu_Trang,Trần Ngọc Thu Trang,"Trần Ngọc Thu Trang; 23 tháng 9, 1984 (40 tuổi); Thành phố Hồ Chí Minh, Việt Nam",Việt Nam,Diễn viênNhà sản xuất phimĐạo diễn,2002 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:THU_TRANG_2020.jpg
2,Quốc Trường,https://vi.wikipedia.org/wiki/Qu%E1%BB%91c_Tr%C6%B0%E1%BB%9Dng_(di%E1%BB%85n_vi%C3%AAn),Nguyễn Quốc Trường,"Nguyễn Quốc Trường; 23 tháng 4, 1988 (37 tuổi); Cần Thơ, Việt Nam",Việt Nam,Diễn viên,2009 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Qu%E1%BB%91c_Tr%C6%B0%E1%BB%9Dng_2019_(cropped).jpeg
3,Bảo Thanh,https://vi.wikipedia.org/wiki/B%E1%BA%A3o_Thanh_(di%E1%BB%85n_vi%C3%AAn),Vũ Thị Phương Thanh,"Vũ Thị Phương Thanh; 26 tháng 10, 1990 (34 tuổi); Bắc Giang, Việt Nam",Việt Nam,Diễn viên,2000–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:B%E1%BA%A3o_Thanh.jpg
4,NSND Ngọc Giàu,https://vi.wikipedia.org/wiki/Ng%E1%BB%8Dc_Gi%C3%A0u,Phong Thị Ngọc Giàu,"Phong Thị Ngọc Giàu; 13 tháng 12, 1945 (79 tuổi); Thủ Thiêm, Gia Định, Nam Kỳ, Liên bang Đông Dương",Việt Nam,Diễn viênNghệ sĩ cải lương,1956 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Ng%E1%BB%8Dc_Gi%C3%A0u.png
5,Trung Dân,https://vi.wikipedia.org/wiki/Trung_D%C3%A2n,Nguyễn Trung Dân,"Nguyễn Trung Dân; 20 tháng 7, 1967 (58 tuổi); Nhị Bình, Hóc Môn, Gia Định, Việt Nam Cộng hòa",Việt Nam,Diễn viên,1992–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Trung_Dan.png
6,NSND Việt Anh,https://vi.wikipedia.org/wiki/Vi%E1%BB%87t_Anh_(ngh%E1%BB%87_s%C4%A9),Nguyễn Văn Liêm,"Nguyễn Văn Liêm; 11 tháng 6, 1958 (67 tuổi); Sài Gòn, Việt Nam Cộng hòa",Việt Nam,Diễn viên,1974 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:NSND_Viet_Anh_2025.png
7,NSND Hồng Vân,https://vi.wikipedia.org/wiki/H%E1%BB%93ng_V%C3%A2n_(di%E1%BB%85n_vi%C3%AAn),Ngô Đặng Hồng Vân,"Ngô Đặng Hồng Vân; 26 tháng 5, 1966 (59 tuổi); Từ Sơn, Bắc Ninh, Việt Nam Dân chủ Cộng hòa",Việt Nam,Diễn viênĐạo diễn sân khấuNhà sản xuấtDoanh nhân,1989 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:HongVan1966.jpg
8,Trường Giang,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Giang_(ngh%E1%BB%87_s%C4%A9),Võ Vũ Trường Giang,"Võ Vũ Trường Giang; 20 tháng 4, 1983 (42 tuổi); Long Thành, Đồng Nai, Việt Nam",Việt Nam,Diễn viênNghệ sĩ hàiNhạc sĩNgười dẫn chương trình,2007 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:TR%C6%AF%E1%BB%9CNG_GIANG.png
9,Mạc Văn Khoa,https://vi.wikipedia.org/wiki/M%E1%BA%A1c_V%C4%83n_Khoa,Mạc Văn Khoa,"Mạc Văn Khoa; 4 tháng 5, 1992 (33 tuổi); Chí Linh, Hải Dương, Việt Nam",,Diễn viênNghệ sĩ hài,2015 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:MAC_VAN_KHOA_2023.jpg
10,Tấn Beo,https://vi.wikipedia.org/wiki/T%E1%BA%A5n_Beo,Phạm Tấn Danh,"Phạm Tấn Danh; 13 tháng 1, 1965 (60 tuổi); Thành phố Hồ Chí Minh, Việt Nam",Việt Nam,Diễn viên,1981 - 2024,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:TAN_BEO.jpg
11,Đức Phúc,https://vi.wikipedia.org/wiki/%C4%90%E1%BB%A9c_Ph%C3%BAc,Nguyễn Đức Phúc,"Nguyễn Đức Phúc; 15 tháng 10, 1996 (28 tuổi); Hà Nội, Việt Nam",Việt Nam,Ca sĩdiễn viênrapper,,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:%C4%90%E1%BB%A9c_Ph%C3%BAc_t%E1%BA%A1i_Si%C3%AAu_th%E1%BB%AD_th%C3%A1ch_2021_(cropped).jpg
