u,v,label,score,model,model_key,group,case
A000295,A000421,1,2.0,Common Neighbors,common_neighbors,Heuristics,case2
A000295,A000421,1,0.6666666666666666,Jaccard Coefficient,jaccard,Heuristics,case2
A000295,A000421,1,1.4426950408889634,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000295,A000421,1,6.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000295,A000421,1,0.5,Resource Allocation Index,resource_allocation,Heuristics,case2
A000204,A000280,1,6.0,Common Neighbors,common_neighbors,Heuristics,case2
A000204,A000280,1,0.8571428571428571,Jaccard Coefficient,jaccard,Heuristics,case2
A000204,A000280,1,2.848677245457843,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000204,A000280,1,42.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000204,A000280,1,0.7376984126984127,Resource Allocation Index,resource_allocation,Heuristics,case2
A000232,A000406,1,9.0,Common Neighbors,common_neighbors,Heuristics,case2
A000232,A000406,1,0.9,Jaccard Coefficient,jaccard,Heuristics,case2
A000232,A000406,1,3.8762037293686227,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000232,A000406,1,90.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000232,A000406,1,0.887191463507253,Resource Allocation Index,resource_allocation,Heuristics,case2
A000121,A000520,1,10.0,Common Neighbors,common_neighbors,Heuristics,case2
A000121,A000520,1,0.9090909090909091,Jaccard Coefficient,jaccard,Heuristics,case2
A000121,A000520,1,3.4794597875003817,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000121,A000520,1,110.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000121,A000520,1,0.5736480624638519,Resource Allocation Index,resource_allocation,Heuristics,case2
A000304,A000402,1,8.0,Common Neighbors,common_neighbors,Heuristics,case2
A000304,A000402,1,0.6153846153846154,Jaccard Coefficient,jaccard,Heuristics,case2
A000304,A000402,1,2.9519541942202405,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000304,A000402,1,110.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000304,A000402,1,0.5370239981223963,Resource Allocation Index,resource_allocation,Heuristics,case2
A000109,A000333,1,3.0,Common Neighbors,common_neighbors,Heuristics,case2
A000109,A000333,1,0.07894736842105263,Jaccard Coefficient,jaccard,Heuristics,case2
A000109,A000333,1,1.0147436521730282,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000109,A000333,1,378.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000109,A000333,1,0.1673611111111111,Resource Allocation Index,resource_allocation,Heuristics,case2
A000113,A000288,1,5.0,Common Neighbors,common_neighbors,Heuristics,case2
A000113,A000288,1,0.5555555555555556,Jaccard Coefficient,jaccard,Heuristics,case2
A000113,A000288,1,1.7001371728452839,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000113,A000288,1,45.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000113,A000288,1,0.27281746031746035,Resource Allocation Index,resource_allocation,Heuristics,case2
A000191,A000249,1,10.0,Common Neighbors,common_neighbors,Heuristics,case2
A000191,A000249,1,0.20408163265306123,Jaccard Coefficient,jaccard,Heuristics,case2
A000191,A000249,1,3.554464891895332,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000191,A000249,1,760.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000191,A000249,1,0.6061123373194311,Resource Allocation Index,resource_allocation,Heuristics,case2
A000199,A000330,1,5.0,Common Neighbors,common_neighbors,Heuristics,case2
A000199,A000330,1,0.17857142857142858,Jaccard Coefficient,jaccard,Heuristics,case2
A000199,A000330,1,2.1868546700376656,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000199,A000330,1,230.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000199,A000330,1,0.532099490795143,Resource Allocation Index,resource_allocation,Heuristics,case2
A000067,A000074,1,1.0,Common Neighbors,common_neighbors,Heuristics,case2
A000067,A000074,1,0.1111111111111111,Jaccard Coefficient,jaccard,Heuristics,case2
A000067,A000074,1,0.7213475204444817,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000067,A000074,1,21.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000067,A000074,1,0.25,Resource Allocation Index,resource_allocation,Heuristics,case2
A000190,A000369,1,1.0,Common Neighbors,common_neighbors,Heuristics,case2
A000190,A000369,1,0.030303030303030304,Jaccard Coefficient,jaccard,Heuristics,case2
A000190,A000369,1,0.3001016285004131,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000190,A000369,1,253.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000190,A000369,1,0.03571428571428571,Resource Allocation Index,resource_allocation,Heuristics,case2
A000343,A000423,1,3.0,Common Neighbors,common_neighbors,Heuristics,case2
A000343,A000423,1,0.3333333333333333,Jaccard Coefficient,jaccard,Heuristics,case2
A000343,A000423,1,1.2926761620616585,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000343,A000423,1,27.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000343,A000423,1,0.3025,Resource Allocation Index,resource_allocation,Heuristics,case2
A000183,A000398,1,10.0,Common Neighbors,common_neighbors,Heuristics,case2
A000183,A000398,1,0.24390243902439024,Jaccard Coefficient,jaccard,Heuristics,case2
A000183,A000398,1,3.9407998878029757,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000183,A000398,1,644.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000183,A000398,1,0.7984237984237984,Resource Allocation Index,resource_allocation,Heuristics,case2
A000223,A000449,1,3.0,Common Neighbors,common_neighbors,Heuristics,case2
A000223,A000449,1,0.12,Jaccard Coefficient,jaccard,Heuristics,case2
A000223,A000449,1,1.0548003996836048,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000223,A000449,1,115.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000223,A000449,1,0.18436692506459945,Resource Allocation Index,resource_allocation,Heuristics,case2
A000282,A000545,1,3.0,Common Neighbors,common_neighbors,Heuristics,case2
A000282,A000545,1,0.21428571428571427,Jaccard Coefficient,jaccard,Heuristics,case2
A000282,A000545,1,1.7765032415842974,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000282,A000545,1,60.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000282,A000545,1,0.55,Resource Allocation Index,resource_allocation,Heuristics,case2
A000189,A000308,1,6.0,Common Neighbors,common_neighbors,Heuristics,case2
A000189,A000308,1,0.15789473684210525,Jaccard Coefficient,jaccard,Heuristics,case2
A000189,A000308,1,2.44904265364698,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000189,A000308,1,483.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000189,A000308,1,0.5259259259259259,Resource Allocation Index,resource_allocation,Heuristics,case2
A000139,A000391,1,3.0,Common Neighbors,common_neighbors,Heuristics,case2
A000139,A000391,1,0.061224489795918366,Jaccard Coefficient,jaccard,Heuristics,case2
A000139,A000391,1,1.8033688011112043,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000139,A000391,1,660.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000139,A000391,1,0.5625,Resource Allocation Index,resource_allocation,Heuristics,case2
A000274,A000347,1,4.0,Common Neighbors,common_neighbors,Heuristics,case2
A000274,A000347,1,0.06666666666666667,Jaccard Coefficient,jaccard,Heuristics,case2
A000274,A000347,1,1.2561239529637007,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000274,A000347,1,348.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000274,A000347,1,0.16648809523809524,Resource Allocation Index,resource_allocation,Heuristics,case2
A000255,A000472,1,4.0,Common Neighbors,common_neighbors,Heuristics,case2
A000255,A000472,1,0.07547169811320754,Jaccard Coefficient,jaccard,Heuristics,case2
A000255,A000472,1,1.5820958450380134,Adamic-Adar Index,adamic_adar,Heuristics,case2
A000255,A000472,1,656.0,Preferential Attachment,preferential_attachment,Heuristics,case2
A000255,A000472,1,0.32738095238095233,Resource Allocation Index,resource_allocation,Heuristics,case2
