u,v,label,score,model,case,group
A000295,A000421,1,0.999999958413829,LR(handcrafted),case2,ML(handcrafted)
A000204,A000280,1,0.9999999999936187,LR(handcrafted),case2,ML(handcrafted)
A000232,A000406,1,0.9999999999999334,LR(handcrafted),case2,ML(handcrafted)
A000121,A000520,1,0.9999999999717433,LR(handcrafted),case2,ML(handcrafted)
A000304,A000402,1,0.9999999915197105,LR(handcrafted),case2,ML(handcrafted)
A000109,A000333,1,0.8712264172159088,LR(handcrafted),case2,ML(handcrafted)
A000113,A000288,1,0.999990886619839,LR(handcrafted),case2,ML(handcrafted)
A000191,A000249,1,0.9999997669774664,LR(handcrafted),case2,ML(handcrafted)
A000199,A000330,1,0.9999906740099156,LR(handcrafted),case2,ML(handcrafted)
A000067,A000074,1,0.9673364257175909,LR(handcrafted),case2,ML(handcrafted)
A000190,A000369,1,0.11671044741926107,LR(handcrafted),case2,ML(handcrafted)
A000343,A000423,1,0.9997870408085344,LR(handcrafted),case2,ML(handcrafted)
A000183,A000398,1,0.9999999947163911,LR(handcrafted),case2,ML(handcrafted)
A000223,A000449,1,0.9603919370883434,LR(handcrafted),case2,ML(handcrafted)
A000282,A000545,1,0.9999916798396721,LR(handcrafted),case2,ML(handcrafted)
A000189,A000308,1,0.9999801396247637,LR(handcrafted),case2,ML(handcrafted)
A000139,A000391,1,0.9999302981202679,LR(handcrafted),case2,ML(handcrafted)
A000274,A000347,1,0.9807407342033513,LR(handcrafted),case2,ML(handcrafted)
A000255,A000472,1,0.9978960944800463,LR(handcrafted),case2,ML(handcrafted)
A000383,A000506,1,0.999984076034445,LR(handcrafted),case2,ML(handcrafted)
A000196,A000401,1,0.9968990992791296,LR(handcrafted),case2,ML(handcrafted)
A000056,A000265,1,0.9999997336945564,LR(handcrafted),case2,ML(handcrafted)
A000192,A000351,1,0.997927153456744,LR(handcrafted),case2,ML(handcrafted)
A000052,A000074,1,0.999999999999764,LR(handcrafted),case2,ML(handcrafted)
A000109,A000475,1,0.999985399514103,LR(handcrafted),case2,ML(handcrafted)
A000255,A000412,1,0.9671182859567341,LR(handcrafted),case2,ML(handcrafted)
A000385,A000416,1,0.9998743307912411,LR(handcrafted),case2,ML(handcrafted)
A000196,A000380,1,0.9981061420205458,LR(handcrafted),case2,ML(handcrafted)
A000230,A000503,1,0.999990567317061,LR(handcrafted),case2,ML(handcrafted)
A000080,A000244,1,0.23584331789759422,LR(handcrafted),case2,ML(handcrafted)
A000096,A000256,1,0.4275471998004947,LR(handcrafted),case2,ML(handcrafted)
A000183,A000190,1,0.9957820332062173,LR(handcrafted),case2,ML(handcrafted)
A000047,A000253,1,0.9999982847695036,LR(handcrafted),case2,ML(handcrafted)
A000004,A000351,1,0.9993019542551272,LR(handcrafted),case2,ML(handcrafted)
A000320,A000493,1,0.9997523056275236,LR(handcrafted),case2,ML(handcrafted)
A000063,A000177,1,0.9840905270548929,LR(handcrafted),case2,ML(handcrafted)
A000108,A000194,1,0.999987397207366,LR(handcrafted),case2,ML(handcrafted)
A000176,A000381,1,0.30021629495230046,LR(handcrafted),case2,ML(handcrafted)
A000210,A000548,1,0.9999999551056349,LR(handcrafted),case2,ML(handcrafted)
A000170,A000233,1,0.9982214305999232,LR(handcrafted),case2,ML(handcrafted)
A000087,A000546,1,0.9999966758900297,LR(handcrafted),case2,ML(handcrafted)
A000262,A000373,1,0.982819267284403,LR(handcrafted),case2,ML(handcrafted)
A000298,A000523,1,0.9999999994873578,LR(handcrafted),case2,ML(handcrafted)
A000179,A000496,1,0.9999999865147238,LR(handcrafted),case2,ML(handcrafted)
A000192,A000307,1,0.9999999994368329,LR(handcrafted),case2,ML(handcrafted)
A000031,A000464,1,0.9707290757597067,LR(handcrafted),case2,ML(handcrafted)
A000281,A000484,1,0.997087429192282,LR(handcrafted),case2,ML(handcrafted)
A000421,A000511,1,0.9999945762113173,LR(handcrafted),case2,ML(handcrafted)
A000464,A000563,1,0.9999982194181912,LR(handcrafted),case2,ML(handcrafted)
A000020,A000114,1,0.911352438244586,LR(handcrafted),case2,ML(handcrafted)
A000010,A000526,1,0.9999995750390595,LR(handcrafted),case2,ML(handcrafted)
A000063,A000170,1,0.9998923000500883,LR(handcrafted),case2,ML(handcrafted)
A000089,A000141,1,0.275648814968286,LR(handcrafted),case2,ML(handcrafted)
A000413,A000513,1,0.9953369719530739,LR(handcrafted),case2,ML(handcrafted)
A000137,A000179,1,0.9999997096698291,LR(handcrafted),case2,ML(handcrafted)
A000334,A000503,1,0.9999410047629196,LR(handcrafted),case2,ML(handcrafted)
A000104,A000569,1,0.9999999998086038,LR(handcrafted),case2,ML(handcrafted)
A000391,A000560,1,0.9996210366362185,LR(handcrafted),case2,ML(handcrafted)
A000143,A000162,1,0.9999999989933381,LR(handcrafted),case2,ML(handcrafted)
A000381,A000480,1,0.9999735621988248,LR(handcrafted),case2,ML(handcrafted)
A000301,A000381,1,0.9999999932302714,LR(handcrafted),case2,ML(handcrafted)
A000329,A000453,1,0.9998622898800166,LR(handcrafted),case2,ML(handcrafted)
A000230,A000334,1,0.9998563544296737,LR(handcrafted),case2,ML(handcrafted)
A000124,A000238,1,0.9999634382989266,LR(handcrafted),case2,ML(handcrafted)
A000037,A000206,1,0.9852837947239563,LR(handcrafted),case2,ML(handcrafted)
A000321,A000531,1,0.9999988250634029,LR(handcrafted),case2,ML(handcrafted)
A000076,A000240,1,0.9999999998683009,LR(handcrafted),case2,ML(handcrafted)
A000198,A000445,1,0.9999971750076971,LR(handcrafted),case2,ML(handcrafted)
A000227,A000333,1,0.9076861070026652,LR(handcrafted),case2,ML(handcrafted)
A000391,A000480,1,0.9999387800715568,LR(handcrafted),case2,ML(handcrafted)
A000335,A000474,1,0.9999997761514198,LR(handcrafted),case2,ML(handcrafted)
A000189,A000281,1,0.9999994246506534,LR(handcrafted),case2,ML(handcrafted)
A000416,A000500,1,0.9999999999767444,LR(handcrafted),case2,ML(handcrafted)
A000196,A000440,1,0.9999998828037553,LR(handcrafted),case2,ML(handcrafted)
A000141,A000155,1,0.9962269188768172,LR(handcrafted),case2,ML(handcrafted)
A000320,A000325,1,0.9998941449243246,LR(handcrafted),case2,ML(handcrafted)
A000418,A000459,1,0.9999997713170147,LR(handcrafted),case2,ML(handcrafted)
A000265,A000566,1,0.9999730032046855,LR(handcrafted),case2,ML(handcrafted)
A000366,A000554,1,0.999999999570601,LR(handcrafted),case2,ML(handcrafted)
A000364,A000381,1,0.9998969908055513,LR(handcrafted),case2,ML(handcrafted)
A000125,A000179,1,0.999995525797775,LR(handcrafted),case2,ML(handcrafted)
A000134,A000165,1,0.9999998314528566,LR(handcrafted),case2,ML(handcrafted)
A000001,A000107,1,0.9999999999141418,LR(handcrafted),case2,ML(handcrafted)
A000250,A000350,1,0.9999999194155906,LR(handcrafted),case2,ML(handcrafted)
A000177,A000476,1,0.9815807528235131,LR(handcrafted),case2,ML(handcrafted)
A000131,A000134,1,0.9999998899171797,LR(handcrafted),case2,ML(handcrafted)
A000259,A000401,1,0.9967135792603888,LR(handcrafted),case2,ML(handcrafted)
A000284,A000449,1,0.9999999999936029,LR(handcrafted),case2,ML(handcrafted)
A000080,A000086,1,0.9999893848761308,LR(handcrafted),case2,ML(handcrafted)
A000337,A000352,1,0.999999999662402,LR(handcrafted),case2,ML(handcrafted)
A000391,A000403,1,0.9996190107608423,LR(handcrafted),case2,ML(handcrafted)
A000330,A000515,1,0.9999735473137386,LR(handcrafted),case2,ML(handcrafted)
A000181,A000349,1,0.9996903126082476,LR(handcrafted),case2,ML(handcrafted)
A000087,A000260,1,0.9999553642668988,LR(handcrafted),case2,ML(handcrafted)
A000055,A000142,1,0.9907715471239543,LR(handcrafted),case2,ML(handcrafted)
A000255,A000274,1,0.9999999891658099,LR(handcrafted),case2,ML(handcrafted)
A000128,A000362,1,0.9999999995044602,LR(handcrafted),case2,ML(handcrafted)
A000177,A000320,1,0.9946148218056269,LR(handcrafted),case2,ML(handcrafted)
A000141,A000398,1,0.9933050569712983,LR(handcrafted),case2,ML(handcrafted)
A000178,A000265,1,0.9983857183548075,LR(handcrafted),case2,ML(handcrafted)
A000363,A000472,1,0.9999981014935503,LR(handcrafted),case2,ML(handcrafted)
A000136,A000445,1,0.9999999999776459,LR(handcrafted),case2,ML(handcrafted)
A000225,A000383,1,0.986597799892886,LR(handcrafted),case2,ML(handcrafted)
A000129,A000507,1,0.977386818548285,LR(handcrafted),case2,ML(handcrafted)
A000054,A000230,1,0.9999566495214863,LR(handcrafted),case2,ML(handcrafted)
A000377,A000404,1,0.9999287719150246,LR(handcrafted),case2,ML(handcrafted)
A000138,A000141,1,0.5583675440084154,LR(handcrafted),case2,ML(handcrafted)
A000290,A000372,1,0.9999999999998161,LR(handcrafted),case2,ML(handcrafted)
A000142,A000271,1,0.5878635595102568,LR(handcrafted),case2,ML(handcrafted)
A000330,A000341,1,0.2066421761920335,LR(handcrafted),case2,ML(handcrafted)
A000030,A000255,1,0.9992969639493313,LR(handcrafted),case2,ML(handcrafted)
A000186,A000274,1,0.9999999999985882,LR(handcrafted),case2,ML(handcrafted)
A000159,A000188,1,0.9999999817029647,LR(handcrafted),case2,ML(handcrafted)
A000088,A000374,1,0.9999999733940865,LR(handcrafted),case2,ML(handcrafted)
A000333,A000475,1,0.620960971759222,LR(handcrafted),case2,ML(handcrafted)
A000348,A000444,1,0.999999583724304,LR(handcrafted),case2,ML(handcrafted)
A000247,A000513,1,0.9999994095216798,LR(handcrafted),case2,ML(handcrafted)
A000231,A000493,1,0.999335962722427,LR(handcrafted),case2,ML(handcrafted)
A000001,A000477,1,0.9999274889865875,LR(handcrafted),case2,ML(handcrafted)
A000186,A000508,1,0.998873791062749,LR(handcrafted),case2,ML(handcrafted)
A000019,A000350,1,0.9999994294475241,LR(handcrafted),case2,ML(handcrafted)
A000110,A000516,1,0.9999955857937048,LR(handcrafted),case2,ML(handcrafted)
A000086,A000458,1,0.9999998724532383,LR(handcrafted),case2,ML(handcrafted)
A000262,A000512,1,0.9826174107431058,LR(handcrafted),case2,ML(handcrafted)
A000170,A000281,1,0.999999806378052,LR(handcrafted),case2,ML(handcrafted)
A000048,A000424,1,0.9999908061182831,LR(handcrafted),case2,ML(handcrafted)
A000227,A000381,1,0.9999339432039632,LR(handcrafted),case2,ML(handcrafted)
A000278,A000348,1,0.9999971196930434,LR(handcrafted),case2,ML(handcrafted)
A000186,A000537,1,0.5422211795070324,LR(handcrafted),case2,ML(handcrafted)
A000385,A000426,1,0.999963345314201,LR(handcrafted),case2,ML(handcrafted)
A000146,A000484,1,0.9999999489857495,LR(handcrafted),case2,ML(handcrafted)
A000186,A000404,1,0.9999403077725626,LR(handcrafted),case2,ML(handcrafted)
A000274,A000378,1,0.9999999998164482,LR(handcrafted),case2,ML(handcrafted)
A000047,A000368,1,0.999999985397992,LR(handcrafted),case2,ML(handcrafted)
A000016,A000381,1,0.9910174095631316,LR(handcrafted),case2,ML(handcrafted)
A000381,A000386,1,0.9999925231564196,LR(handcrafted),case2,ML(handcrafted)
A000266,A000564,1,0.9995622808790107,LR(handcrafted),case2,ML(handcrafted)
A000428,A000506,1,0.8599478596758472,LR(handcrafted),case2,ML(handcrafted)
A000114,A000198,1,0.6533818624347266,LR(handcrafted),case2,ML(handcrafted)
A000375,A000379,1,0.9999999999937133,LR(handcrafted),case2,ML(handcrafted)
A000011,A000340,1,0.9999999998197899,LR(handcrafted),case2,ML(handcrafted)
A000142,A000334,1,0.3898953239345119,LR(handcrafted),case2,ML(handcrafted)
A000398,A000420,1,0.9999999842008449,LR(handcrafted),case2,ML(handcrafted)
A000340,A000509,1,0.993371784592058,LR(handcrafted),case2,ML(handcrafted)
A000176,A000442,1,0.973063859401328,LR(handcrafted),case2,ML(handcrafted)
A000226,A000372,1,0.99999998792975,LR(handcrafted),case2,ML(handcrafted)
A000306,A000493,1,0.9984536967017372,LR(handcrafted),case2,ML(handcrafted)
A000152,A000568,1,0.9999999999963243,LR(handcrafted),case2,ML(handcrafted)
A000122,A000493,1,0.9933094221510034,LR(handcrafted),case2,ML(handcrafted)
A000477,A000482,1,0.9999998853705936,LR(handcrafted),case2,ML(handcrafted)
A000122,A000349,1,0.9989937700557654,LR(handcrafted),case2,ML(handcrafted)
A000141,A000507,1,0.989876192497711,LR(handcrafted),case2,ML(handcrafted)
A000175,A000512,1,0.9999915959165852,LR(handcrafted),case2,ML(handcrafted)
A000087,A000381,1,0.9899398859830699,LR(handcrafted),case2,ML(handcrafted)
A000322,A000398,1,0.9954582589376884,LR(handcrafted),case2,ML(handcrafted)
A000010,A000445,1,0.9999999784631945,LR(handcrafted),case2,ML(handcrafted)
A000099,A000159,1,0.9999998601915447,LR(handcrafted),case2,ML(handcrafted)
A000100,A000177,1,0.928317286958506,LR(handcrafted),case2,ML(handcrafted)
A000134,A000373,1,0.9999928544567083,LR(handcrafted),case2,ML(handcrafted)
A000151,A000391,1,0.32477325356275644,LR(handcrafted),case2,ML(handcrafted)
A000194,A000281,1,0.9999891623031025,LR(handcrafted),case2,ML(handcrafted)
A000089,A000376,1,0.38188965819804427,LR(handcrafted),case2,ML(handcrafted)
A000098,A000553,1,0.9999999291981606,LR(handcrafted),case2,ML(handcrafted)
A000197,A000401,1,0.9989662788724104,LR(handcrafted),case2,ML(handcrafted)
A000016,A000420,1,0.8341619748529796,LR(handcrafted),case2,ML(handcrafted)
A000169,A000537,1,0.1682733526945949,LR(handcrafted),case2,ML(handcrafted)
A000047,A000287,1,0.999999985397992,LR(handcrafted),case2,ML(handcrafted)
A000503,A000560,1,0.99567326503304,LR(handcrafted),case2,ML(handcrafted)
A000067,A000087,1,0.9999947107977254,LR(handcrafted),case2,ML(handcrafted)
A000431,A000560,1,0.9999999988612192,LR(handcrafted),case2,ML(handcrafted)
A000109,A000425,1,0.34024005769408255,LR(handcrafted),case2,ML(handcrafted)
A000381,A000403,1,0.9999484481167135,LR(handcrafted),case2,ML(handcrafted)
A000179,A000350,1,0.9999498902717114,LR(handcrafted),case2,ML(handcrafted)
A000142,A000416,1,0.9266738860767005,LR(handcrafted),case2,ML(handcrafted)
A000080,A000505,1,0.9999999996635633,LR(handcrafted),case2,ML(handcrafted)
A000010,A000538,1,0.9999998096831799,LR(handcrafted),case2,ML(handcrafted)
A000179,A000374,1,0.9999846373271774,LR(handcrafted),case2,ML(handcrafted)
A000080,A000335,1,0.9999999770801847,LR(handcrafted),case2,ML(handcrafted)
A000070,A000270,1,0.9999939355112987,LR(handcrafted),case2,ML(handcrafted)
A000105,A000250,1,0.9999920347036736,LR(handcrafted),case2,ML(handcrafted)
A000065,A000335,1,0.9999999957219443,LR(handcrafted),case2,ML(handcrafted)
A000288,A000467,1,0.9863972896366903,LR(handcrafted),case2,ML(handcrafted)
A000391,A000531,1,0.9999840111649027,LR(handcrafted),case2,ML(handcrafted)
A000255,A000507,1,0.8238355478039667,LR(handcrafted),case2,ML(handcrafted)
A000156,A000166,1,0.9999934484106262,LR(handcrafted),case2,ML(handcrafted)
A000045,A000209,1,0.9999999999710087,LR(handcrafted),case2,ML(handcrafted)
A000331,A000556,1,0.9999999944668154,LR(handcrafted),case2,ML(handcrafted)
A000109,A000508,1,0.9615572469684757,LR(handcrafted),case2,ML(handcrafted)
A000344,A000364,1,0.9999831617356647,LR(handcrafted),case2,ML(handcrafted)
A000093,A000348,1,0.999426340751405,LR(handcrafted),case2,ML(handcrafted)
A000158,A000177,1,0.9966159474862821,LR(handcrafted),case2,ML(handcrafted)
A000017,A000124,1,0.9985115224068168,LR(handcrafted),case2,ML(handcrafted)
A000159,A000248,1,0.9999759181474818,LR(handcrafted),case2,ML(handcrafted)
A000136,A000321,1,0.9999996961484758,LR(handcrafted),case2,ML(handcrafted)
A000018,A000301,1,0.9999999999994273,LR(handcrafted),case2,ML(handcrafted)
A000055,A000151,1,0.3591075546055656,LR(handcrafted),case2,ML(handcrafted)
A000185,A000234,1,0.9999999999858005,LR(handcrafted),case2,ML(handcrafted)
A000063,A000197,1,0.9999539723986844,LR(handcrafted),case2,ML(handcrafted)
A000254,A000434,1,0.9999871887324328,LR(handcrafted),case2,ML(handcrafted)
A000268,A000305,1,0.999995747974366,LR(handcrafted),case2,ML(handcrafted)
A000161,A000220,1,0.9999999164464001,LR(handcrafted),case2,ML(handcrafted)
A000014,A000559,1,0.9999999971527014,LR(handcrafted),case2,ML(handcrafted)
A000249,A000475,1,0.9999892304768594,LR(handcrafted),case2,ML(handcrafted)
A000063,A000373,1,0.9872908612967902,LR(handcrafted),case2,ML(handcrafted)
A000350,A000424,1,0.9999959875168486,LR(handcrafted),case2,ML(handcrafted)
A000395,A000456,1,0.9999999998947293,LR(handcrafted),case2,ML(handcrafted)
A000425,A000493,1,0.9001260369397859,LR(handcrafted),case2,ML(handcrafted)
A000005,A000391,1,0.9998840531193351,LR(handcrafted),case2,ML(handcrafted)
A000256,A000272,1,0.9999909949483975,LR(handcrafted),case2,ML(handcrafted)
A000183,A000474,1,0.9980786036640413,LR(handcrafted),case2,ML(handcrafted)
A000362,A000491,1,0.9999999960996275,LR(handcrafted),case2,ML(handcrafted)
A000253,A000525,1,0.9999999978296745,LR(handcrafted),case2,ML(handcrafted)
A000189,A000272,1,0.9999592248680343,LR(handcrafted),case2,ML(handcrafted)
A000426,A000500,1,0.9912545662747555,LR(handcrafted),case2,ML(handcrafted)
A000114,A000249,1,0.9987231969725039,LR(handcrafted),case2,ML(handcrafted)
A000304,A000311,1,0.9999999969059221,LR(handcrafted),case2,ML(handcrafted)
A000055,A000475,1,0.9997662820134756,LR(handcrafted),case2,ML(handcrafted)
A000142,A000515,1,0.9777798298678145,LR(handcrafted),case2,ML(handcrafted)
A000003,A000426,1,0.9884131993452274,LR(handcrafted),case2,ML(handcrafted)
A000019,A000250,1,0.9999999999768745,LR(handcrafted),case2,ML(handcrafted)
A000121,A000449,1,0.9999998127651804,LR(handcrafted),case2,ML(handcrafted)
A000431,A000554,1,0.9999999999796512,LR(handcrafted),case2,ML(handcrafted)
A000303,A000335,1,0.9999999847922219,LR(handcrafted),case2,ML(handcrafted)
A000041,A000239,1,0.999984195065606,LR(handcrafted),case2,ML(handcrafted)
A000024,A000028,1,0.9999988466892819,LR(handcrafted),case2,ML(handcrafted)
A000110,A000203,1,0.9998934519515806,LR(handcrafted),case2,ML(handcrafted)
A000425,A000507,1,0.7901017328124837,LR(handcrafted),case2,ML(handcrafted)
A000224,A000504,1,0.8807053186019415,LR(handcrafted),case2,ML(handcrafted)
A000114,A000477,1,0.4012544866934261,LR(handcrafted),case2,ML(handcrafted)
A000303,A000319,1,0.9999999955307828,LR(handcrafted),case2,ML(handcrafted)
A000348,A000479,1,0.999999583724304,LR(handcrafted),case2,ML(handcrafted)
A000090,A000474,1,0.9999999997097471,LR(handcrafted),case2,ML(handcrafted)
A000144,A000177,1,0.7518375349738159,LR(handcrafted),case2,ML(handcrafted)
A000373,A000513,1,0.9999634279146493,LR(handcrafted),case2,ML(handcrafted)
A000093,A000383,1,0.9995562368990898,LR(handcrafted),case2,ML(handcrafted)
A000277,A000392,1,0.9999999999999973,LR(handcrafted),case2,ML(handcrafted)
A000123,A000487,1,0.9999999999997615,LR(handcrafted),case2,ML(handcrafted)
A000120,A000304,1,0.9999999998763489,LR(handcrafted),case2,ML(handcrafted)
A000495,A000536,1,0.9999999999361435,LR(handcrafted),case2,ML(handcrafted)
A000434,A000491,1,0.9999999999999336,LR(handcrafted),case2,ML(handcrafted)
A000047,A000268,1,0.9999956228591181,LR(handcrafted),case2,ML(handcrafted)
A000048,A000403,1,0.999998913539093,LR(handcrafted),case2,ML(handcrafted)
A000489,A000550,1,0.9999999999335114,LR(handcrafted),case2,ML(handcrafted)
A000056,A000361,1,0.9999995891267578,LR(handcrafted),case2,ML(handcrafted)
A000045,A000321,1,0.9999999761001651,LR(handcrafted),case2,ML(handcrafted)
A000327,A000393,1,0.9999999328773973,LR(handcrafted),case2,ML(handcrafted)
A000129,A000383,1,0.9929904624254619,LR(handcrafted),case2,ML(handcrafted)
A000255,A000275,1,0.9999966107206397,LR(handcrafted),case2,ML(handcrafted)
A000332,A000492,1,0.9971944451733961,LR(handcrafted),case2,ML(handcrafted)
A000004,A000506,1,0.999853527050107,LR(handcrafted),case2,ML(handcrafted)
A000239,A000329,1,0.9362286274612577,LR(handcrafted),case2,ML(handcrafted)
A000319,A000499,1,0.999999999999295,LR(handcrafted),case2,ML(handcrafted)
A000281,A000537,1,0.44259854610470345,LR(handcrafted),case2,ML(handcrafted)
