id,label,degree,strength,betweenness_LCC,pagerank,community
A000274,NSƯT Hữu Châu,78,83.0,0.10505075931104421,0.00921097141549641,-1
A000493,Tuấn Trần,54,66.0,0.03196465133216024,0.007449418231896688,-1
A000255,NSND Hồng Vân,56,64.0,0.05855508364786657,0.007479471017837049,-1
A000381,Quốc Cường,63,63.0,0.07958570352178548,0.008074042957988586,-1
A000373,Quang Tuấn,56,60.0,0.0623745879808795,0.007364415264849774,-1
A000249,Mạc Văn Khoa,49,52.0,0.03805016649852117,0.00627677522975963,-1
A000425,Thu Trang,41,52.0,0.024729761998988943,0.006128235181392248,-1
A000197,Lê Giang,43,51.0,0.02188362973838172,0.0059129428429350005,-1
A000177,Kiều Minh Tuấn,43,51.0,0.024641303488926312,0.005846831551353761,-1
A000378,Quách Ngọc Tuyên,44,47.0,0.04526028487145135,0.00547108409812916,-1
A000179,Kiều Trinh,43,46.0,0.01852181138853997,0.00491354643163132,-1
A000143,Hứa Vĩ Văn,44,45.0,0.04287312133020558,0.00542752235001786,-1
A000170,Khả Như,41,44.0,0.02507230532112543,0.0051199763120575986,-1
A000186,Long Đẹp Trai,38,42.0,0.011695958903194976,0.0045524278845552974,-1
A000141,Hồng Đào,36,41.0,0.023057171669630068,0.004958783962880854,-1
A000442,Tiến Luật,34,40.0,0.019113534739205955,0.004701028431953378,-1
A000383,Quốc Khánh,34,40.0,0.012984109042518928,0.004580128052358009,-1
A000333,Ngọc Tưởng,36,39.0,0.016019546042965477,0.004438394703800173,-1
A000506,Uyển Ân,36,38.0,0.01620333917731755,0.0043141054050992046,-1
A000139,Hồng Ánh,36,37.0,0.023812642027378716,0.0046558138819162665,-1
A000391,Rima Thanh Vy,35,37.0,0.023021510885761227,0.004572205068124572,-1
A000467,Trấn Thành,28,37.0,0.005410412160188208,0.004172375577866499,-1
A000398,Samuel An,36,36.0,0.03493448057217832,0.0048359953624947565,-1
A000428,Thái Hoà,32,36.0,0.020242296239953456,0.004333187140023821,-1
A000474,Trần Lực,35,35.0,0.03659567163549667,0.0037112243957413324,-1
A000010,Anh Tú Wilson,34,34.0,0.01867251108866332,0.0038414361592846395,-1
A000181,La Thành,28,34.0,0.014485421620789996,0.0042271236297449595,-1
