token,df,len,is_english
pin,10703,3,TRUE
usb,8608,3,FALSE
micro,6188,5,TRUE
bluetooth,6141,9,FALSE
led,6122,3,TRUE
camera,5506,6,TRUE
video,5055,5,TRUE
type,4535,4,TRUE
wifi,4188,4,FALSE
option,4179,6,TRUE
android,4115,7,TRUE
mini,3549,4,TRUE
abs,3220,3,TRUE
and,3199,3,TRUE
the,3082,3,TRUE
mic,3029,3,TRUE
full,2833,4,TRUE
serum,2693,5,TRUE
for,2689,3,TRUE
may,2582,3,TRUE
chip,2507,4,TRUE
tem,2458,3,FALSE
with,2431,4,TRUE
product,2348,7,TRUE
size,2344,4,TRUE
ios,2294,3,FALSE
lithium,2261,7,TRUE
material,2238,8,TRUE
pro,2219,3,TRUE
microphone,2148,10,TRUE
model,2121,5,TRUE
package,2093,7,TRUE
you,2064,3,TRUE
app,2023,3,TRUE
power,2009,5,TRUE
tham,1998,4,FALSE
your,1958,4,TRUE
not,1876,3,TRUE
are,1835,3,TRUE
sung,1833,4,TRUE
max,1815,3,TRUE
sim,1798,3,TRUE
color,1778,5,TRUE
adapter,1774,7,TRUE
wireless,1772,8,TRUE
contents,1704,8,TRUE
game,1702,4,TRUE
iphone,1695,6,FALSE
item,1668,4,TRUE
light,1656,5,TRUE
polymer,1649,7,TRUE
jean,1640,4,TRUE
any,1629,3,TRUE
karaoke,1610,7,TRUE
gps,1601,3,FALSE
jeans,1585,5,TRUE
sound,1582,5,TRUE
vitamin,1565,7,TRUE
oxy,1545,3,FALSE
samsung,1543,7,FALSE
support,1541,7,TRUE
can,1539,3,TRUE
will,1533,4,TRUE
high,1528,4,TRUE
use,1499,3,TRUE
play,1486,4,TRUE
please,1473,6,TRUE
driver,1462,6,TRUE
battery,1455,7,TRUE
flash,1437,5,TRUE
have,1428,4,TRUE
plastic,1395,7,TRUE
black,1392,5,TRUE
audio,1390,5,TRUE
quality,1378,7,TRUE
cable,1374,5,TRUE
xiaomi,1360,6,FALSE
acid,1319,4,TRUE
inch,1316,4,TRUE
noise,1308,5,TRUE
super,1300,5,TRUE
charge,1299,6,TRUE
denim,1298,5,TRUE
colour,1293,6,FALSE
make,1293,4,TRUE
typetype,1286,8,FALSE
about,1281,5,TRUE
contact,1268,7,TRUE
before,1265,6,TRUE
ion,1264,3,TRUE
smart,1261,5,TRUE
when,1253,4,TRUE
get,1250,3,TRUE
order,1238,5,TRUE
price,1223,5,TRUE
plug,1215,4,TRUE
ram,1215,3,TRUE
there,1214,5,TRUE
ninhtrong,1207,9,FALSE
shipping,1205,8,TRUE
bass,1184,4,TRUE
output,1176,6,TRUE
bay,1174,3,TRUE
long,1174,4,TRUE
good,1168,4,TRUE
charging,1165,8,TRUE
best,1162,4,TRUE
first,1159,5,TRUE
details,1154,7,TRUE
star,1154,4,TRUE
provide,1149,7,TRUE
check,1147,5,TRUE
zoom,1137,4,TRUE
google,1136,6,TRUE
feedback,1134,8,TRUE
sure,1119,4,TRUE
collagen,1116,8,TRUE
problem,1097,7,TRUE
satisfied,1094,9,TRUE
leave,1088,5,TRUE
from,1087,4,TRUE
laptop,1083,6,TRUE
negative,1081,8,TRUE
otg,1080,3,FALSE
white,1080,5,TRUE
input,1079,5,TRUE
different,1076,9,TRUE
drop,1074,4,TRUE
huawei,1067,6,FALSE
carefully,1064,9,TRUE
store,1064,5,TRUE
wholesale,1064,9,TRUE
positive,1061,8,TRUE
leaving,1049,7,TRUE
hesitate,1041,8,TRUE
resolve,1039,7,TRUE
satisfy,1039,7,TRUE
yoosee,1039,6,FALSE
entirely,1038,8,TRUE
speaker,1031,7,TRUE
data,1030,4,TRUE
note,1009,4,TRUE
stereo,1004,6,TRUE
other,999,5,TRUE
outdoor,999,7,TRUE
amoled,985,6,FALSE
lcd,983,3,FALSE
damoisturizing,981,14,FALSE
lights,980,6,TRUE
ousb,963,4,FALSE
phone,954,5,TRUE
new,950,3,TRUE
easy,937,4,TRUE
cmos,936,4,FALSE
perfect,922,7,TRUE
card,921,4,TRUE
this,919,4,TRUE
home,917,4,TRUE
apple,911,5,TRUE
hyaluronic,908,10,FALSE
included,908,8,TRUE
massage,892,7,TRUE
email,888,5,TRUE
ultra,884,5,TRUE
portable,880,8,TRUE
quick,874,5,TRUE
cpu,873,3,FALSE
real,870,4,TRUE
box,856,3,TRUE
doanh,845,5,FALSE
tws,844,3,FALSE
lightning,841,9,TRUE
music,837,5,TRUE
time,836,4,TRUE
free,835,4,TRUE
dynamic,834,7,TRUE
hot,828,3,TRUE
peopleskin,822,10,FALSE
all,815,3,TRUE
pinlithium,815,10,FALSE
products,810,8,TRUE
more,809,4,TRUE
pixel,808,5,TRUE
omicro,806,6,FALSE
chat,801,4,TRUE
features,799,8,TRUE
lighting,796,8,TRUE
voice,795,5,TRUE
frequency,791,9,TRUE
built,787,5,TRUE
niacinamide,781,11,FALSE
dual,774,4,TRUE
voltage,771,7,TRUE
control,764,7,TRUE
that,760,4,TRUE
hours,755,5,TRUE
nfc,742,3,FALSE
cotton,738,6,TRUE
hifi,736,4,FALSE
aux,731,3,TRUE
plus,724,4,TRUE
rung,723,4,TRUE
set,721,3,TRUE
pvc,718,3,FALSE
galaxy,717,6,TRUE
jack,717,4,TRUE
only,713,4,TRUE
form,706,4,TRUE
mode,706,4,TRUE
life,699,4,TRUE
radio,688,5,TRUE
little,683,6,TRUE
design,681,6,TRUE
decor,678,5,TRUE
waterproof,672,10,TRUE
ips,667,3,FALSE
smartphone,661,10,TRUE
above,656,5,TRUE
nano,650,4,FALSE
suitable,650,8,TRUE
measurement,645,11,TRUE
content,644,7,TRUE
silicon,643,7,TRUE
night,642,5,TRUE
range,640,5,TRUE
ipad,638,4,FALSE
clear,634,5,TRUE
ship,633,4,TRUE
chipset,631,7,FALSE
capacity,629,8,TRUE
fast,625,4,TRUE
direct,624,6,TRUE
lazada,623,6,FALSE
microsd,621,7,FALSE
string,617,6,TRUE
silicone,616,8,TRUE
than,613,4,TRUE
studio,611,6,TRUE
watch,610,5,TRUE
zalo,602,4,FALSE
one,598,3,TRUE
picture,598,7,TRUE
hdr,597,3,FALSE
display,596,7,TRUE
our,594,3,TRUE
stress,593,6,TRUE
metal,592,5,TRUE
lte,591,3,FALSE
party,583,5,TRUE
core,582,4,TRUE
glonass,581,7,FALSE
which,580,5,TRUE
mobile,578,6,TRUE
bank,576,4,TRUE
without,573,7,TRUE
displays,572,8,TRUE
megapixel,572,9,TRUE
mediatek,565,8,FALSE
pan,565,3,TRUE
response,565,8,TRUE
rgb,565,3,FALSE
call,563,4,TRUE
professional,563,12,TRUE
error,562,5,TRUE
glycerin,560,8,TRUE
name,560,4,TRUE
combo,558,5,TRUE
gsm,557,3,FALSE
cause,556,5,TRUE
ptz,555,3,FALSE
thing,551,5,TRUE
